Vendor Name,Vendor Email,Order Number,Store Name,Delivery Date,Product Name,Product Description,Category,Unit of Measurement,Quantity,Price per Unit,Expiration Date
Cardenas Ltd,robinmoreno@example.com,4f83ccd2-5dad-4420-89c2-8365a60846d4,ABC Foodmart - Bay Ridge,6/22/2024,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,kg,47,69.27,6/1/2025
Matthews LLC,guerreroconnie@example.net,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,ABC Foodmart - Bay Ridge,2/13/2025,Roast Beef,"High-quality deli item, Roast Beef, sourced responsibly.",deli,kg,4,6.19,10/17/2025
Matthews LLC,guerreroconnie@example.net,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,ABC Foodmart - Bay Ridge,2/13/2025,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,kg,95,20.79,5/10/2025
Matthews LLC,guerreroconnie@example.net,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,ABC Foodmart - Bay Ridge,2/13/2025,Shrimp,"High-quality seafood item, Shrimp, sourced responsibly.",seafood,ml,16,48.19,3/23/2025
Matthews LLC,guerreroconnie@example.net,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,ABC Foodmart - Bay Ridge,2/13/2025,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,kg,39,44.15,8/18/2025
Matthews LLC,guerreroconnie@example.net,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,ABC Foodmart - Bay Ridge,2/13/2025,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,kg,66,6.26,2/9/2026
"Hamilton, Briggs and Nguyen",herringeric@example.org,a088b206-5765-4a0d-b384-1ed9dc274246,ABC Foodmart - Bay Ridge,2/25/2025,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,pieces,49,19.36,11/21/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,a088b206-5765-4a0d-b384-1ed9dc274246,ABC Foodmart - Bay Ridge,2/25/2025,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,pieces,79,75.54,6/23/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,a088b206-5765-4a0d-b384-1ed9dc274246,ABC Foodmart - Bay Ridge,2/25/2025,Juice,"High-quality beverages item, Juice, sourced responsibly.",beverages,pieces,33,82.97,11/25/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,a088b206-5765-4a0d-b384-1ed9dc274246,ABC Foodmart - Bay Ridge,2/25/2025,Salmon Fillet,"High-quality seafood item, Salmon Fillet, sourced responsibly.",seafood,ml,34,95.81,8/31/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,a088b206-5765-4a0d-b384-1ed9dc274246,ABC Foodmart - Bay Ridge,2/25/2025,Frozen Pizza,"High-quality frozen foods item, Frozen Pizza, sourced responsibly.",frozen foods,ml,36,86.65,9/13/2025
Lowery-Abbott,darrylwilliams@example.net,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,ABC Foodmart - Staten Island,4/2/2025,Band-Aids,"High-quality pharmacy item, Band-Aids, sourced responsibly.",pharmacy,pieces,4,55.89,3/21/2026
Lowery-Abbott,darrylwilliams@example.net,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,ABC Foodmart - Staten Island,4/2/2025,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,ml,63,71.51,8/24/2025
Lowery-Abbott,darrylwilliams@example.net,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,ABC Foodmart - Staten Island,4/2/2025,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,kg,2,9.63,11/30/2025
Lowery-Abbott,darrylwilliams@example.net,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,ABC Foodmart - Staten Island,4/2/2025,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,pieces,93,47.08,6/8/2025
Lowery-Abbott,darrylwilliams@example.net,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,ABC Foodmart - Staten Island,4/2/2025,Bagel,"High-quality bakery item, Bagel, sourced responsibly.",bakery,pieces,74,93.34,10/6/2025
Silva PLC,ohowe@example.org,cd963182-f3de-464d-87a1-6cbaa08a6be5,ABC Foodmart - Whitestone,9/23/2024,Soda,"High-quality beverages item, Soda, sourced responsibly.",beverages,ml,41,10.39,8/15/2025
Silva PLC,ohowe@example.org,cd963182-f3de-464d-87a1-6cbaa08a6be5,ABC Foodmart - Whitestone,9/23/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,pieces,13,50.77,3/3/2025
Silva PLC,ohowe@example.org,cd963182-f3de-464d-87a1-6cbaa08a6be5,ABC Foodmart - Whitestone,9/23/2024,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,ml,65,46.09,9/10/2025
Silva PLC,ohowe@example.org,cd963182-f3de-464d-87a1-6cbaa08a6be5,ABC Foodmart - Whitestone,9/23/2024,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,pieces,83,91.54,3/22/2025
Silva PLC,ohowe@example.org,cd963182-f3de-464d-87a1-6cbaa08a6be5,ABC Foodmart - Whitestone,9/23/2024,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,pieces,13,49.76,10/26/2024
Patterson and Sons,andrea86@example.com,f6c6e797-4799-4dda-aca1-1e39377a6ba2,ABC Foodmart - DUMBO,3/17/2025,Band-Aids,"High-quality pharmacy item, Band-Aids, sourced responsibly.",pharmacy,pieces,35,22.84,8/8/2025
Patterson and Sons,andrea86@example.com,f6c6e797-4799-4dda-aca1-1e39377a6ba2,ABC Foodmart - DUMBO,3/17/2025,Roast Beef,"High-quality deli item, Roast Beef, sourced responsibly.",deli,pieces,21,39.66,1/14/2026
Patterson and Sons,andrea86@example.com,f6c6e797-4799-4dda-aca1-1e39377a6ba2,ABC Foodmart - DUMBO,3/17/2025,Croissant,"High-quality bakery item, Croissant, sourced responsibly.",bakery,ml,54,54.39,2/8/2026
Patterson and Sons,andrea86@example.com,f6c6e797-4799-4dda-aca1-1e39377a6ba2,ABC Foodmart - DUMBO,3/17/2025,Lettuce,"High-quality fresh produce item, Lettuce, sourced responsibly.",fresh produce,kg,19,8.37,2/18/2026
Patterson and Sons,andrea86@example.com,f6c6e797-4799-4dda-aca1-1e39377a6ba2,ABC Foodmart - DUMBO,3/17/2025,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,ml,25,68.13,8/16/2025
"Wallace, Brown and Garcia",moorepaul@example.net,85911ba6-8f8d-4336-bbbc-b9ff3181d608,ABC Foodmart - Whitestone,3/5/2025,Apples,"High-quality fresh produce item, Apples, sourced responsibly.",fresh produce,kg,59,16.85,4/9/2025
"Wallace, Brown and Garcia",moorepaul@example.net,85911ba6-8f8d-4336-bbbc-b9ff3181d608,ABC Foodmart - Whitestone,3/5/2025,Croissant,"High-quality bakery item, Croissant, sourced responsibly.",bakery,pieces,11,17.07,10/2/2025
"Wallace, Brown and Garcia",moorepaul@example.net,85911ba6-8f8d-4336-bbbc-b9ff3181d608,ABC Foodmart - Whitestone,3/5/2025,Shrimp,"High-quality seafood item, Shrimp, sourced responsibly.",seafood,ml,9,40.64,10/15/2025
"Wallace, Brown and Garcia",moorepaul@example.net,85911ba6-8f8d-4336-bbbc-b9ff3181d608,ABC Foodmart - Whitestone,3/5/2025,Carrots,"High-quality fresh produce item, Carrots, sourced responsibly.",fresh produce,kg,19,75.58,6/22/2025
"Wallace, Brown and Garcia",moorepaul@example.net,85911ba6-8f8d-4336-bbbc-b9ff3181d608,ABC Foodmart - Whitestone,3/5/2025,Shrimp,"High-quality seafood item, Shrimp, sourced responsibly.",seafood,kg,10,83.64,4/2/2025
"West, Jones and Hatfield",natasha72@example.com,53c95ac8-d16a-46b1-a66b-a0d52c4c34ad,ABC Foodmart - DUMBO,12/8/2024,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,ml,37,96.33,9/20/2025
"West, Jones and Hatfield",natasha72@example.com,53c95ac8-d16a-46b1-a66b-a0d52c4c34ad,ABC Foodmart - DUMBO,12/8/2024,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,kg,96,6.13,4/12/2025
"West, Jones and Hatfield",natasha72@example.com,53c95ac8-d16a-46b1-a66b-a0d52c4c34ad,ABC Foodmart - DUMBO,12/8/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,ml,6,64.31,10/22/2025
"West, Jones and Hatfield",natasha72@example.com,53c95ac8-d16a-46b1-a66b-a0d52c4c34ad,ABC Foodmart - DUMBO,12/8/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,ml,98,9.54,2/20/2025
"West, Jones and Hatfield",natasha72@example.com,53c95ac8-d16a-46b1-a66b-a0d52c4c34ad,ABC Foodmart - DUMBO,12/8/2024,Lettuce,"High-quality fresh produce item, Lettuce, sourced responsibly.",fresh produce,kg,23,16.08,9/10/2025
Patterson and Sons,andrea86@example.com,76819cd7-29f5-4432-9353-4db841bd3b4a,ABC Foodmart - Bay Ridge,10/15/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,ml,63,68.66,8/1/2025
Patterson and Sons,andrea86@example.com,76819cd7-29f5-4432-9353-4db841bd3b4a,ABC Foodmart - Bay Ridge,10/15/2024,Carrots,"High-quality fresh produce item, Carrots, sourced responsibly.",fresh produce,kg,54,94.55,5/18/2025
Patterson and Sons,andrea86@example.com,76819cd7-29f5-4432-9353-4db841bd3b4a,ABC Foodmart - Bay Ridge,10/15/2024,Juice,"High-quality beverages item, Juice, sourced responsibly.",beverages,kg,92,82.92,1/7/2025
Patterson and Sons,andrea86@example.com,76819cd7-29f5-4432-9353-4db841bd3b4a,ABC Foodmart - Bay Ridge,10/15/2024,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,ml,51,56.39,4/22/2025
Patterson and Sons,andrea86@example.com,76819cd7-29f5-4432-9353-4db841bd3b4a,ABC Foodmart - Bay Ridge,10/15/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,ml,30,61.21,10/26/2024
Giles-Greene,shawn47@example.org,7d643604-9f8a-45a0-935f-1a2f4bd49a7d,ABC Foodmart - DUMBO,1/23/2025,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,ml,61,61.23,12/17/2025
Giles-Greene,shawn47@example.org,7d643604-9f8a-45a0-935f-1a2f4bd49a7d,ABC Foodmart - DUMBO,1/23/2025,Apples,"High-quality fresh produce item, Apples, sourced responsibly.",fresh produce,kg,66,55.84,10/13/2025
Giles-Greene,shawn47@example.org,7d643604-9f8a-45a0-935f-1a2f4bd49a7d,ABC Foodmart - DUMBO,1/23/2025,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,ml,35,20.48,4/25/2025
Giles-Greene,shawn47@example.org,7d643604-9f8a-45a0-935f-1a2f4bd49a7d,ABC Foodmart - DUMBO,1/23/2025,Roast Beef,"High-quality deli item, Roast Beef, sourced responsibly.",deli,kg,27,60.53,4/4/2025
Giles-Greene,shawn47@example.org,7d643604-9f8a-45a0-935f-1a2f4bd49a7d,ABC Foodmart - DUMBO,1/23/2025,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,ml,22,79.41,4/17/2025
"Crawford, Oliver and Anderson",dawndaniel@example.net,97fcf51d-e661-4847-9e8b-c56c18d1e28d,ABC Foodmart - Tribeca,11/19/2024,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,pieces,68,82.98,8/1/2025
"Crawford, Oliver and Anderson",dawndaniel@example.net,97fcf51d-e661-4847-9e8b-c56c18d1e28d,ABC Foodmart - Tribeca,11/19/2024,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,ml,34,61.25,8/4/2025
"Crawford, Oliver and Anderson",dawndaniel@example.net,97fcf51d-e661-4847-9e8b-c56c18d1e28d,ABC Foodmart - Tribeca,11/19/2024,Roast Beef,"High-quality deli item, Roast Beef, sourced responsibly.",deli,ml,16,56.05,1/8/2025
"Crawford, Oliver and Anderson",dawndaniel@example.net,97fcf51d-e661-4847-9e8b-c56c18d1e28d,ABC Foodmart - Tribeca,11/19/2024,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,kg,75,22.54,11/8/2025
"Crawford, Oliver and Anderson",dawndaniel@example.net,97fcf51d-e661-4847-9e8b-c56c18d1e28d,ABC Foodmart - Tribeca,11/19/2024,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,pieces,52,65.58,8/4/2025
Lowery-Abbott,darrylwilliams@example.net,f5050e82-9242-4e06-8e66-182429448018,ABC Foodmart - Tribeca,1/23/2025,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,ml,28,24.68,12/21/2025
Lowery-Abbott,darrylwilliams@example.net,f5050e82-9242-4e06-8e66-182429448018,ABC Foodmart - Tribeca,1/23/2025,Tulips,"High-quality floral item, Tulips, sourced responsibly.",floral,ml,28,44.45,9/14/2025
Lowery-Abbott,darrylwilliams@example.net,f5050e82-9242-4e06-8e66-182429448018,ABC Foodmart - Tribeca,1/23/2025,Shrimp,"High-quality seafood item, Shrimp, sourced responsibly.",seafood,kg,30,55.19,5/6/2025
Lowery-Abbott,darrylwilliams@example.net,f5050e82-9242-4e06-8e66-182429448018,ABC Foodmart - Tribeca,1/23/2025,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,ml,9,41.15,9/3/2025
Lowery-Abbott,darrylwilliams@example.net,f5050e82-9242-4e06-8e66-182429448018,ABC Foodmart - Tribeca,1/23/2025,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,pieces,51,24.48,9/1/2025
"Garcia, David and Mendoza",phillipcombs@example.net,02296da9-4abf-4be5-af59-0e44e5a4ad82,ABC Foodmart - DUMBO,4/19/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,ml,89,27.07,7/5/2024
"Garcia, David and Mendoza",phillipcombs@example.net,02296da9-4abf-4be5-af59-0e44e5a4ad82,ABC Foodmart - DUMBO,4/19/2024,Pasta,"High-quality dry goods item, Pasta, sourced responsibly.",dry goods,kg,5,32.64,2/1/2025
"Garcia, David and Mendoza",phillipcombs@example.net,02296da9-4abf-4be5-af59-0e44e5a4ad82,ABC Foodmart - DUMBO,4/19/2024,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,kg,31,96.98,11/12/2024
"Garcia, David and Mendoza",phillipcombs@example.net,02296da9-4abf-4be5-af59-0e44e5a4ad82,ABC Foodmart - DUMBO,4/19/2024,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,kg,31,12.47,8/25/2024
"Garcia, David and Mendoza",phillipcombs@example.net,02296da9-4abf-4be5-af59-0e44e5a4ad82,ABC Foodmart - DUMBO,4/19/2024,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,ml,46,99.42,10/22/2024
Cardenas Ltd,robinmoreno@example.com,c784b6b6-a242-467b-98ca-3b87aede7441,ABC Foodmart - Staten Island,12/2/2024,Carrots,"High-quality fresh produce item, Carrots, sourced responsibly.",fresh produce,kg,89,36.74,5/23/2025
Cardenas Ltd,robinmoreno@example.com,c784b6b6-a242-467b-98ca-3b87aede7441,ABC Foodmart - Staten Island,12/2/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,kg,37,10.64,7/7/2025
Cardenas Ltd,robinmoreno@example.com,c784b6b6-a242-467b-98ca-3b87aede7441,ABC Foodmart - Staten Island,12/2/2024,Bagel,"High-quality bakery item, Bagel, sourced responsibly.",bakery,ml,20,35.31,1/10/2025
Cardenas Ltd,robinmoreno@example.com,c784b6b6-a242-467b-98ca-3b87aede7441,ABC Foodmart - Staten Island,12/2/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,kg,99,28.15,5/28/2025
Cardenas Ltd,robinmoreno@example.com,c784b6b6-a242-467b-98ca-3b87aede7441,ABC Foodmart - Staten Island,12/2/2024,Bagel,"High-quality bakery item, Bagel, sourced responsibly.",bakery,pieces,44,1.54,6/27/2025
Neal-Jones,rodney30@example.net,1bf8278a-7398-42b8-9dbf-d41580a9c250,ABC Foodmart - DUMBO,10/20/2024,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,kg,51,11.98,8/23/2025
Neal-Jones,rodney30@example.net,1bf8278a-7398-42b8-9dbf-d41580a9c250,ABC Foodmart - DUMBO,10/20/2024,Juice,"High-quality beverages item, Juice, sourced responsibly.",beverages,ml,30,28.47,8/8/2025
Neal-Jones,rodney30@example.net,1bf8278a-7398-42b8-9dbf-d41580a9c250,ABC Foodmart - DUMBO,10/20/2024,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,pieces,33,31.78,2/21/2025
Neal-Jones,rodney30@example.net,1bf8278a-7398-42b8-9dbf-d41580a9c250,ABC Foodmart - DUMBO,10/20/2024,Frozen Pizza,"High-quality frozen foods item, Frozen Pizza, sourced responsibly.",frozen foods,ml,5,8.82,6/20/2025
Neal-Jones,rodney30@example.net,1bf8278a-7398-42b8-9dbf-d41580a9c250,ABC Foodmart - DUMBO,10/20/2024,Water,"High-quality beverages item, Water, sourced responsibly.",beverages,ml,54,77.35,11/9/2024
Molina-Rivera,holly61@example.net,dd76b9cd-6928-4ded-b590-dd929fedb155,ABC Foodmart - Tribeca,9/14/2024,Pasta,"High-quality dry goods item, Pasta, sourced responsibly.",dry goods,ml,10,59.1,8/10/2025
Molina-Rivera,holly61@example.net,dd76b9cd-6928-4ded-b590-dd929fedb155,ABC Foodmart - Tribeca,9/14/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,ml,95,37.66,1/23/2025
Molina-Rivera,holly61@example.net,dd76b9cd-6928-4ded-b590-dd929fedb155,ABC Foodmart - Tribeca,9/14/2024,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,pieces,73,21.37,4/15/2025
Molina-Rivera,holly61@example.net,dd76b9cd-6928-4ded-b590-dd929fedb155,ABC Foodmart - Tribeca,9/14/2024,Croissant,"High-quality bakery item, Croissant, sourced responsibly.",bakery,ml,52,46.3,9/8/2025
Molina-Rivera,holly61@example.net,dd76b9cd-6928-4ded-b590-dd929fedb155,ABC Foodmart - Tribeca,9/14/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,pieces,48,72.23,8/17/2025
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,e51dd881-85af-4224-8b41-82b828a9a729,ABC Foodmart - Bay Ridge,6/10/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,pieces,45,6.88,5/26/2025
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,e51dd881-85af-4224-8b41-82b828a9a729,ABC Foodmart - Bay Ridge,6/10/2024,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,pieces,72,69.69,2/24/2025
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,e51dd881-85af-4224-8b41-82b828a9a729,ABC Foodmart - Bay Ridge,6/10/2024,Lettuce,"High-quality fresh produce item, Lettuce, sourced responsibly.",fresh produce,kg,22,67.86,1/18/2025
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,e51dd881-85af-4224-8b41-82b828a9a729,ABC Foodmart - Bay Ridge,6/10/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,pieces,9,50.75,11/12/2024
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,e51dd881-85af-4224-8b41-82b828a9a729,ABC Foodmart - Bay Ridge,6/10/2024,Rice,"High-quality dry goods item, Rice, sourced responsibly.",dry goods,ml,66,21.56,6/29/2024
Gonzalez-Diaz,jacksonchristopher@example.com,42a4de1f-e58a-439d-93cb-caddbae19482,ABC Foodmart - Staten Island,11/16/2024,Soda,"High-quality beverages item, Soda, sourced responsibly.",beverages,ml,63,13.38,4/6/2025
Gonzalez-Diaz,jacksonchristopher@example.com,42a4de1f-e58a-439d-93cb-caddbae19482,ABC Foodmart - Staten Island,11/16/2024,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,pieces,18,22.98,5/25/2025
Gonzalez-Diaz,jacksonchristopher@example.com,42a4de1f-e58a-439d-93cb-caddbae19482,ABC Foodmart - Staten Island,11/16/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,pieces,27,45.81,1/5/2025
Gonzalez-Diaz,jacksonchristopher@example.com,42a4de1f-e58a-439d-93cb-caddbae19482,ABC Foodmart - Staten Island,11/16/2024,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,ml,57,93.73,10/1/2025
Gonzalez-Diaz,jacksonchristopher@example.com,42a4de1f-e58a-439d-93cb-caddbae19482,ABC Foodmart - Staten Island,11/16/2024,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,pieces,60,10.36,5/26/2025
Giles-Greene,shawn47@example.org,798bdca3-37e7-46f3-8c44-97142715c478,ABC Foodmart - Whitestone,5/20/2024,Salmon Fillet,"High-quality seafood item, Salmon Fillet, sourced responsibly.",seafood,kg,93,34.89,8/10/2024
Giles-Greene,shawn47@example.org,798bdca3-37e7-46f3-8c44-97142715c478,ABC Foodmart - Whitestone,5/20/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,kg,38,94.56,4/1/2025
Giles-Greene,shawn47@example.org,798bdca3-37e7-46f3-8c44-97142715c478,ABC Foodmart - Whitestone,5/20/2024,Juice,"High-quality beverages item, Juice, sourced responsibly.",beverages,pieces,99,2.6,3/27/2025
Giles-Greene,shawn47@example.org,798bdca3-37e7-46f3-8c44-97142715c478,ABC Foodmart - Whitestone,5/20/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,pieces,80,87.11,5/12/2025
Giles-Greene,shawn47@example.org,798bdca3-37e7-46f3-8c44-97142715c478,ABC Foodmart - Whitestone,5/20/2024,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,ml,36,46.98,2/22/2025
"Gray, Roman and Little",rachel74@example.com,f45be451-38c3-48a2-aa26-907a3c4a266b,ABC Foodmart - Whitestone,4/22/2024,Roast Beef,"High-quality deli item, Roast Beef, sourced responsibly.",deli,kg,96,91.11,8/29/2024
"Gray, Roman and Little",rachel74@example.com,f45be451-38c3-48a2-aa26-907a3c4a266b,ABC Foodmart - Whitestone,4/22/2024,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,pieces,74,30.41,11/3/2024
"Gray, Roman and Little",rachel74@example.com,f45be451-38c3-48a2-aa26-907a3c4a266b,ABC Foodmart - Whitestone,4/22/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,kg,33,2.46,12/23/2024
"Gray, Roman and Little",rachel74@example.com,f45be451-38c3-48a2-aa26-907a3c4a266b,ABC Foodmart - Whitestone,4/22/2024,Shrimp,"High-quality seafood item, Shrimp, sourced responsibly.",seafood,pieces,13,50.44,1/8/2025
"Gray, Roman and Little",rachel74@example.com,f45be451-38c3-48a2-aa26-907a3c4a266b,ABC Foodmart - Whitestone,4/22/2024,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,pieces,15,13.69,3/8/2025
Watts-Brown,rgiles@example.net,605542e6-6b5f-4c13-bfff-8cfde22e6bcb,ABC Foodmart - Bay Ridge,2/5/2025,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,pieces,86,24.12,10/17/2025
Watts-Brown,rgiles@example.net,605542e6-6b5f-4c13-bfff-8cfde22e6bcb,ABC Foodmart - Bay Ridge,2/5/2025,Croissant,"High-quality bakery item, Croissant, sourced responsibly.",bakery,ml,66,80.63,8/5/2025
